instance_id,source_preset_id,node_type,texture_path,width_tiles,height_tiles,display_name,tile_x,tile_y,max_incoming,max_outgoing,max_outgoing_length
bone_01,bone_dead,,,,,,26,12,,,
bone_02,bone_dead,,,,,,26,20,,,
bone_03,bone_dead,,,,,,26,27,,,
bone_04,bone_dead,,,,,,46,12,,,
bone_05,bone_dead,,,,,,46,20,,,
bone_06,bone_dead,,,,,,46,28,,,
bone_07,bone_dead,,,,,,36,20,,,
heart,heart_root,,,,,心臓,40,5,,,
organ_01,organ_follow,,assets/textures/node/lung.png,,,肺,40,39,,,
organ_02,organ_follow,,assets/textures/node/stomach.png,,,胃,22,39,,,
organ_03,organ_follow,,assets/textures/node/lung.png,,,肺,5,39,,,
organ_04,organ_follow,,assets/textures/node/kidney.png,,,腎臓,73,39,,,
brain,brain_end,,,,,脳,56,39,,,
